963.800000,-519.200000,324.000000	963.800000,-496.200000,324.000000	929.800000,-496.200000,324.000000	929.800000,-519.200000,324.000000	963.800000,-519.200000,327.000000	963.800000,-496.200000,327.000000	929.800000,-496.200000,327.000000	929.800000,-519.200000,327.000000
1203.900000,-443.400000,308.000000	1203.900000,-407.400000,308.000000	1109.900000,-407.400000,308.000000	1109.900000,-443.400000,308.000000	1203.900000,-443.400000,342.000000	1203.900000,-407.400000,342.000000	1109.900000,-407.400000,342.000000	1109.900000,-443.400000,342.000000
1190.100000,-467.700000,312.000000	1190.100000,-449.700000,312.000000	1114.100000,-449.700000,312.000000	1114.100000,-467.700000,312.000000	1190.100000,-467.700000,320.000000	1190.100000,-449.700000,320.000000	1114.100000,-449.700000,320.000000	1114.100000,-467.700000,320.000000
1131.300000,-526.600000,313.000000	1131.300000,-486.600000,313.000000	1106.300000,-486.600000,313.000000	1106.300000,-526.600000,313.000000	1131.300000,-526.600000,316.000000	1131.300000,-486.600000,316.000000	1106.300000,-486.600000,316.000000	1106.300000,-526.600000,316.000000
1188.300000,-528.400000,310.000000	1188.300000,-496.400000,310.000000	1136.300000,-496.400000,310.000000	1136.300000,-528.400000,310.000000	1188.300000,-528.400000,324.000000	1188.300000,-496.400000,324.000000	1136.300000,-496.400000,324.000000	1136.300000,-528.400000,324.000000
1269.000000,-455.200000,307.000000	1269.000000,-416.200000,307.000000	1242.000000,-416.200000,307.000000	1242.000000,-455.200000,307.000000	1269.000000,-455.200000,328.000000	1269.000000,-416.200000,328.000000	1242.000000,-416.200000,328.000000	1242.000000,-455.200000,328.000000
1269.500000,-524.600000,309.000000	1269.500000,-494.600000,309.000000	1204.500000,-494.600000,309.000000	1204.500000,-524.600000,309.000000	1269.500000,-524.600000,337.000000	1269.500000,-494.600000,337.000000	1204.500000,-494.600000,337.000000	1204.500000,-524.600000,337.000000
1320.099628,-507.918938,304.000000	1362.081374,-484.648076,304.000000	1351.900372,-466.281062,304.000000	1309.918626,-489.551924,304.000000	1320.099628,-507.918938,360.000000	1362.081374,-484.648076,360.000000	1351.900372,-466.281062,360.000000	1309.918626,-489.551924,360.000000
392.857542,-569.091739,321.000000	401.603312,-543.547435,321.000000	392.142458,-540.308261,321.000000	383.396688,-565.852565,321.000000	392.857542,-569.091739,321.000000	401.603312,-543.547435,321.000000	392.142458,-540.308261,321.000000	383.396688,-565.852565,321.000000
403.107723,-587.176255,321.000000	417.246717,-549.758494,321.000000	407.892277,-546.223745,321.000000	393.753283,-583.641506,321.000000	403.107723,-587.176255,321.000000	417.246717,-549.758494,321.000000	407.892277,-546.223745,321.000000	393.753283,-583.641506,321.000000
479.100000,-556.500000,321.000000	479.100000,-546.500000,321.000000	437.100000,-546.500000,321.000000	437.100000,-556.500000,321.000000	479.100000,-556.500000,321.000000	479.100000,-546.500000,321.000000	437.100000,-546.500000,321.000000	437.100000,-556.500000,321.000000
425.454354,-599.676480,321.000000	435.862424,-571.539812,321.000000	425.545646,-567.723520,321.000000	415.137576,-595.860188,321.000000	425.454354,-599.676480,325.000000	435.862424,-571.539812,325.000000	425.545646,-567.723520,325.000000	415.137576,-595.860188,325.000000
448.275247,-588.728333,321.000000	455.163549,-572.098501,321.000000	445.924753,-568.271667,321.000000	439.036451,-584.901499,321.000000	448.275247,-588.728333,321.000000	455.163549,-572.098501,321.000000	445.924753,-568.271667,321.000000	439.036451,-584.901499,321.000000
470.500000,-570.200000,321.000000	470.500000,-563.200000,321.000000	460.500000,-563.200000,321.000000	460.500000,-570.200000,321.000000	470.500000,-570.200000,321.000000	470.500000,-563.200000,321.000000	460.500000,-563.200000,321.000000	460.500000,-570.200000,321.000000
472.599549,-618.252275,321.000000	500.179925,-596.704123,321.000000	477.400451,-567.547725,321.000000	449.820075,-589.095877,321.000000	472.599549,-618.252275,321.000000	500.179925,-596.704123,321.000000	477.400451,-567.547725,321.000000	449.820075,-589.095877,321.000000
492.771855,-663.390383,325.000000	519.583410,-640.892817,325.000000	502.228145,-620.209617,325.000000	475.416590,-642.707183,325.000000	492.771855,-663.390383,354.000000	519.583410,-640.892817,354.000000	502.228145,-620.209617,354.000000	475.416590,-642.707183,354.000000
562.900000,-554.300000,322.000000	562.900000,-533.300000,322.000000	522.900000,-533.300000,322.000000	522.900000,-554.300000,322.000000	562.900000,-554.300000,346.000000	562.900000,-533.300000,346.000000	522.900000,-533.300000,346.000000	522.900000,-554.300000,346.000000
540.701889,-610.149665,322.000000	582.068288,-575.439135,322.000000	570.498111,-561.650335,322.000000	529.131712,-596.360865,322.000000	540.701889,-610.149665,346.000000	582.068288,-575.439135,346.000000	570.498111,-561.650335,346.000000	529.131712,-596.360865,346.000000
403.647120,-605.714937,323.000000	401.348986,-603.786574,323.000000	365.352880,-646.685063,323.000000	367.651014,-648.613426,323.000000	403.647120,-605.714937,372.000000	401.348986,-603.786574,372.000000	365.352880,-646.685063,372.000000	367.651014,-648.613426,372.000000
419.154292,-666.098211,326.000000	441.757557,-635.551650,326.000000	418.445708,-618.301789,326.000000	395.842443,-648.848350,326.000000	419.154292,-666.098211,345.000000	441.757557,-635.551650,345.000000	418.445708,-618.301789,345.000000	395.842443,-648.848350,345.000000
396.660016,-693.137109,326.000000	409.373809,-660.527916,326.000000	390.739984,-653.262891,326.000000	378.026191,-685.872084,326.000000	396.660016,-693.137109,330.000000	409.373809,-660.527916,330.000000	390.739984,-653.262891,330.000000	378.026191,-685.872084,330.000000
358.010909,-697.499702,324.000000	375.629931,-682.715587,324.000000	356.989091,-660.500298,324.000000	339.370069,-675.284413,324.000000	358.010909,-697.499702,328.000000	375.629931,-682.715587,328.000000	356.989091,-660.500298,328.000000	339.370069,-675.284413,328.000000
330.760431,-702.598578,324.000000	344.768700,-689.762364,324.000000	340.039569,-684.601422,324.000000	326.031300,-697.437636,324.000000	330.760431,-702.598578,329.000000	344.768700,-689.762364,329.000000	340.039569,-684.601422,329.000000	326.031300,-697.437636,329.000000
342.273816,-716.204494,325.000000	356.282086,-703.368280,325.000000	349.526184,-695.995506,325.000000	335.517914,-708.831720,325.000000	342.273816,-716.204494,332.000000	356.282086,-703.368280,332.000000	349.526184,-695.995506,332.000000	335.517914,-708.831720,332.000000
277.757622,-721.377336,324.000000	302.825051,-698.407269,324.000000	294.042378,-688.822664,324.000000	268.974949,-711.792731,324.000000	277.757622,-721.377336,328.000000	302.825051,-698.407269,328.000000	294.042378,-688.822664,328.000000	268.974949,-711.792731,328.000000
311.207287,-810.765719,326.000000	336.181060,-790.757954,326.000000	301.792713,-747.834281,326.000000	276.818940,-767.842046,326.000000	311.207287,-810.765719,326.000000	336.181060,-790.757954,326.000000	301.792713,-747.834281,326.000000	276.818940,-767.842046,326.000000
246.991194,-870.490408,320.000000	275.947696,-847.457367,320.000000	216.808806,-773.109592,320.000000	187.852304,-796.142633,320.000000	246.991194,-870.490408,334.000000	275.947696,-847.457367,334.000000	216.808806,-773.109592,334.000000	187.852304,-796.142633,334.000000
278.544490,-843.439893,327.000000	293.289227,-833.115517,327.000000	276.655510,-809.360107,327.000000	261.910773,-819.684483,327.000000	278.544490,-843.439893,362.000000	293.289227,-833.115517,362.000000	276.655510,-809.360107,362.000000	261.910773,-819.684483,362.000000
576.220939,-652.489990,323.000000	598.789990,-634.279061,323.000000	580.579061,-611.710010,323.000000	558.010010,-629.920939,323.000000	576.220939,-652.489990,349.000000	598.789990,-634.279061,349.000000	580.579061,-611.710010,349.000000	558.010010,-629.920939,349.000000
515.296605,-687.570410,325.000000	548.713881,-660.509633,325.000000	539.903395,-649.629590,325.000000	506.486119,-676.690367,325.000000	515.296605,-687.570410,341.000000	548.713881,-660.509633,341.000000	539.903395,-649.629590,341.000000	506.486119,-676.690367,341.000000
540.717791,-720.168065,325.000000	563.255024,-701.917774,325.000000	538.082209,-670.831935,325.000000	515.544976,-689.082226,325.000000	540.717791,-720.168065,330.000000	563.255024,-701.917774,330.000000	538.082209,-670.831935,330.000000	515.544976,-689.082226,330.000000
562.927209,-699.516616,325.000000	585.464442,-681.266325,325.000000	568.472791,-660.283384,325.000000	545.935558,-678.533675,325.000000	562.927209,-699.516616,341.000000	585.464442,-681.266325,341.000000	568.472791,-660.283384,341.000000	545.935558,-678.533675,341.000000
